,selection_scheme,test_case,input_size,num_parts,mutation_level,mutation_step_size,run,cost_model,ilp_cost,op_cost,conv_cost,compile_time,server_exec_time,server_load_time,server_total_time,client_exec_time,client_load_time,client_total_time,num_nodes,avg_partition_size,ilp_time,comb_time,part_time
0,b,biomatch,256,12,1,4,0,hycc,4182885.631999827,4182885.631999827,0.0,0.209910835,3.69678,0.989653,4.68643,3.64267,1.04306,4.68573,4356.0,363.0,0.0,0.0,0.0
1,b,biomatch,256,12,1,4,1,hycc,4182885.631999827,4182885.631999827,0.0,0.24327363800000001,3.30649,0.902073,4.20856,3.30633,0.900985,4.20731,4356.0,363.0,0.0,0.0,0.0
2,b,biomatch,256,12,1,4,2,hycc,4182885.631999827,4182885.631999827,0.0,0.22459098800000002,3.4361,0.923347,4.35944,3.42838,0.930623,4.359,4356.0,363.0,0.0,0.0,0.0
3,y,biomatch,256,12,1,4,0,hycc,1146476.03199999,1146476.03199999,0.0,0.248622433,1.9196,0.868135,2.78773,1.93527,0.850335,2.78561,4356.0,363.0,0.0,0.0,0.0
4,y,biomatch,256,12,1,4,1,hycc,1146476.03199999,1146476.03199999,0.0,0.208823055,1.71695,0.903585,2.62053,1.76635,0.852977,2.61933,4356.0,363.0,0.0,0.0,0.0
5,y,biomatch,256,12,1,4,2,hycc,1146476.03199999,1146476.03199999,0.0,0.237155696,1.68318,0.880505,2.56368,1.72417,0.837211,2.56138,4356.0,363.0,0.0,0.0,0.0
6,a+b,biomatch,256,12,1,4,0,hycc,2296126.799999936,1867424.5119999296,428702.2880000066,0.205231189,0.523188,0.0522819,0.575469,0.520137,0.053261,0.573398,4356.0,363.0,0.0,0.0,0.0
7,a+b,biomatch,256,12,1,4,1,hycc,2296126.799999936,1867424.5119999296,428702.28800000664,0.21206136,0.516105,0.0553101,0.571415,0.509962,0.0594118,0.569374,4356.0,363.0,0.0,0.0,0.0
8,a+b,biomatch,256,12,1,4,2,hycc,2296126.7999999365,1867424.5119999296,428702.28800000704,0.212546402,0.530547,0.0540585,0.584605,0.523126,0.0589984,0.582125,4356.0,363.0,0.0,0.0,0.0
9,a+y,biomatch,256,12,1,4,0,hycc,2104147.171999993,791531.0079999665,1312616.1640000273,0.26173112099999996,1.99272,0.984589,2.97731,2.02339,0.953298,2.97669,4356.0,363.0,0.0,0.0,0.0
10,a+y,biomatch,256,12,1,4,1,hycc,2104147.171999995,791531.0079999665,1312616.1640000301,0.221699616,1.81407,0.90374,2.71781,1.81412,0.902924,2.71705,4356.0,363.0,0.0,0.0,0.0
11,a+y,biomatch,256,12,1,4,2,hycc,2104147.171999993,791531.0079999665,1312616.1640000283,0.208877539,1.96408,0.950241,2.91432,2.00479,0.909018,2.91381,4356.0,363.0,0.0,0.0,0.0
12,greedy,biomatch,256,12,1,4,0,hycc,2358966.027999999,790806.0159999627,1568160.0120000357,0.238088864,2.26844,0.986474,3.25492,2.35118,0.902439,3.25362,4356.0,363.0,0.0,0.0,0.0
13,greedy,biomatch,256,12,1,4,1,hycc,2358966.027999997,790806.0159999627,1568160.0120000332,0.247106114,2.29899,0.990784,3.28977,2.38516,0.903217,3.28838,4356.0,363.0,0.0,0.0,0.0
14,greedy,biomatch,256,12,1,4,2,hycc,2358966.0279999925,790806.0159999627,1568160.0120000322,0.239221617,2.27459,0.966977,3.24157,2.33376,0.905797,3.23956,4356.0,363.0,0.0,0.0,0.0
15,lp,biomatch,256,12,1,4,0,hycc,926212.024999969,797602.3039999683,128609.72100000076,0.2479187,0.336634,0.0417372,0.378371,0.336774,0.0406795,0.377454,4356.0,363.0,0.644274592,0.027722591999999997,0.044804122999999994
16,lp,biomatch,256,12,1,4,1,hycc,926212.024999969,797602.3039999683,128609.72100000076,0.210401756,0.324341,0.0434414,0.367783,0.324323,0.0426063,0.366929,4356.0,363.0,0.643828671,0.028397731,0.050481347999999995
17,lp,biomatch,256,12,1,4,2,hycc,926212.024999969,797602.3039999683,128609.72100000076,0.249044017,0.342641,0.0458932,0.388534,0.34202,0.0457191,0.387739,4356.0,363.0,0.646937345,0.027493085,0.049840286
18,lp+nm,biomatch,256,12,1,4,0,hycc,926212.024999969,797602.3039999683,128609.72100000076,0.248036628,0.335278,0.0469313,0.38221,0.333151,0.0478191,0.38097,4356.0,363.0,0.702552165,0.0,0.049268957
19,lp+nm,biomatch,256,12,1,4,1,hycc,926212.024999969,797602.3039999683,128609.72100000076,0.245734141,0.340653,0.0466832,0.387337,0.348129,0.0395752,0.387704,4356.0,363.0,0.7227650330000001,0.0,0.045876325
20,lp+nm,biomatch,256,12,1,4,2,hycc,926212.024999969,797602.3039999683,128609.72100000076,0.251453761,0.342716,0.0480111,0.390727,0.343137,0.047322,0.390459,4356.0,363.0,0.70342983,0.0,0.052718848
21,glp,biomatch,256,12,1,4,0,hycc,925884.9279999691,797602.3039999683,128282.62400000077,0.20962773799999998,0.340101,0.0441603,0.384262,0.34461,0.0400802,0.38469,4356.0,363.0,4.889039651,0.0,0.0
22,glp,biomatch,256,12,1,4,1,hycc,925884.9279999691,797602.3039999683,128282.62400000077,0.21002256800000002,0.336641,0.039649,0.37629,0.327956,0.0462715,0.374228,4356.0,363.0,4.866666426,0.0,0.0
23,glp,biomatch,256,12,1,4,2,hycc,925884.9279999691,797602.3039999683,128282.62400000077,0.251212951,0.34741,0.0439074,0.391318,0.34886,0.0418444,0.390705,4356.0,363.0,4.875260114,0.0,0.0
